Date,DAU Actuals (avg),DAU (avg),ARPDAU,Gross Rev (Act),Revenue (Gross),Net Rev (Act),Revenue (Net),Marketing Cost,Game Margin (Act),Game Margin,Cumul. Margin
2025-10-01,127266.0,127266,0.3942006845689027,1555213.5493838259,1555213.5493838259,1141849.3245603838,1141849.3245603838,574515.0,567334.3245603838,567334.3245603838,567334.3245603838
2025-11-01,119314.0,119314,0.41587829469551585,1488604.749112202,1488604.749112202,1091991.522645012,1091991.522645012,512000.0,579991.522645012,579991.522645012,1147325.8472053958
2025-12-01,117685.0,117685,0.4304884911160222,1570519.3059902412,1570519.3059902412,1151169.3452025806,1151169.3452025806,500000.0,651169.3452025806,651169.3452025806,1798495.1924079764
2026-01-01,114297.0,114297,0.4497833608426816,1593676.901971398,1593676.901971398,1167057.328211214,1167057.328211214,350000.0,817057.3282112139,817057.3282112139,2615552.5206191903
2026-02-01,109328.0,109328,0.47494831094003936,1453909.3947080937,1453909.3947080937,1064224.515926842,1064224.515926842,450000.0,614224.5159268421,614224.5159268421,3229777.0365460324
2026-03-01,98536.0,98536,0.4445342703216127,1357880.1610699124,1357880.1610699124,998303.549172174,998303.549172174,250000.0,748303.549172174,748303.549172174,3978080.585718206
2026-04-01,90904.0,90904,0.48170998217323696,1313677.0729044206,1313677.0729044206,963483.2436402708,963483.2436402708,250000.0,713483.2436402708,713483.2436402708,4691563.829358477
2026-05-01,84998.0,83358,0.4952279765584104,742827.5222100843,1279716.1337990952,544902.0663514119,954316.9865250989,250000.0,294902.06635141186,704316.9865250989,5395880.815883576
2026-06-01,,79534,0.5158158846531652,,1230741.4431586608,,926500.7216264637,250000.0,,676500.7216264637,6072381.537510039
2026-07-01,,76017,0.5348139302328818,,1260296.8868842241,,958022.9247306085,250000.0,,708022.9247306085,6780404.4622406475
2026-08-01,,72802,0.5412189191507093,,1221452.1486540986,,928203.4774404764,250000.0,,678203.4774404764,7458607.939681124
2026-09-01,,70240,0.5418105308257094,,1141704.5696253928,,867577.0257569571,250000.0,,617577.0257569571,8076184.965438081
2026-10-01,,67823,0.5412109387089704,,1137899.900607813,,864710.9541704212,250000.0,,614710.9541704212,8690895.919608502
2026-11-01,,65994,0.5426034883224307,,1074260.190342398,,816295.059103109,250000.0,,566295.059103109,9257190.97871161
2026-12-01,,64132,0.5419889032845899,,1077516.6943210778,,818793.8441738535,250000.0,,568793.8441738535,9825984.822885465
2027-01-01,,55287,0.5419895776034162,,928911.6215187713,,705870.3560892603,0.0,,705870.3560892603,10531855.178974725
2027-02-01,,47627,0.5419899454444247,,722781.0579608548,,549233.8580715749,0.0,,549233.8580715749,11081089.0370463
2027-03-01,,42420,0.5419742769889011,,712698.7732244933,,541572.8438805498,0.0,,541572.8438805498,11622661.88092685
2027-04-01,,38200,0.5419672431732412,,621086.8849310128,,471958.02416357544,0.0,,471958.02416357544,12094619.905090425
2027-05-01,,34662,0.5419637420497443,,582346.74882437,,442519.83755621576,0.0,,442519.83755621576,12537139.74264664
2027-06-01,,31611,0.5419592416706831,,513948.0882689619,,390544.4212180198,0.0,,390544.4212180198,12927684.16386466
2027-07-01,,28944,0.541952273462822,,486273.9295530603,,369515.20712291263,0.0,,369515.20712291263,13297199.370987572
2027-08-01,,26573,0.5419417751330226,,446427.3491214098,,339236.31928168796,0.0,,339236.31928168796,13636435.69026926
2027-09-01,,24552,0.5419274102909394,,399161.3466849448,,303319.49929042335,0.0,,303319.49929042335,13939755.189559683
2027-10-01,,22816,0.5419091811878212,,383296.6567684681,,291264.30540603184,0.0,,291264.30540603184,14231019.494965715
2027-11-01,,21329,0.5418883815789275,,346741.5102590138,,263486.58366087975,0.0,,263486.58366087975,14494506.078626595
2027-12-01,,20052,0.5418676903670459,,336828.6079793553,,255954.09055115952,0.0,,255954.09055115952,14750460.169177756
